Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
Faules I,Isop,1,2,Despatx,Didàctic,Fundació Bernat Metge,Català;Grec,,
Faules II,Isop,1,2,Despatx,Didàctic,Fundació Bernat Metge,Català;Grec,,
Odes i Epodes I,Horaci,1,2,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,,
Odes i Epodes II,Horaci,1,2,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,,
Bucòliques,Virgili,1,2,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,,
Dafnis i Cloe,Longus,1,2,Despatx,Novel·la,Fundació Bernat Metge,Català;Grec,,
Alexandre i Cèsar (Vides paral·leles),Plutarc,1,2,Despatx,Novel·la,Fundació Bernat Metge,Català;Llatí,,
De la Natura II,Lucreci,1,2,Despatx,Didàctic;Assaig,Fundació Bernat Metge,Català;Llatí,,
Aurea Dicta,Desconegut o dubtós,1,2,Despatx,Didàctic,Fundació Bernat Metge,Català;Llatí,Paraules de l'antiga saviesa,
Història de la guerra del Peloponès I,Tucídides,1,2,Despatx,Història,Fundació Bernat Metge,Català;Grec,,
Història de la guerra del Peloponès II,Tucídides,1,2,Despatx,Història,Fundació Bernat Metge,Català;Grec,,
El meu país ,Josep Pla,15,1,Menjador,Novel·la,Destino,Català,Obra completa volum VII Reflexions sobre l'Empordà. La substància. El meu poble.,
Tres biografies,Josep Pla,15,1,Menjador,Biografia,Destino,Català,Obra completa volum X. Joan Maragall. Un Assaig vida i miracles de Josep Pijoan. Francesc Pujols. Notes.,
Homenots primera serie.,Josep Pla,15,1,Menjador,Biografia,Destino,Català,"Obra completa XI. Prat de la Riba,Pompeu Fabra, Joaquim Ruyra, Ramon Turró, Antoni Gaudí, Isidre Nonell, Eugei d'Ors, Jaume Bofill i Mates, Carles Riba, Francesc d'A Gali, Joan Crexells, Joan Esterich, Sadurní Ximénez, Miró Folguera, Joaquim Pena.",
Homenots segona serie,Josep Pla,15,2,Menjador,Biografia,Destino,Català,Obra completa 16,
Homenots tercera serie,Josep Pla,15,2,Menjador,Biografia,Destino,Català,Obra completa 21,
Les escales de llevant,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 13,
Notes disperses,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 12,
Els pagesos,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 8,
El nord,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 5,
La vida amarga,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 6,
Viatge a la Catalunya vella,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 9,
Per passar l'estona,Josep Pla,15,2,Menjador,Novel·la,Destino,Català,Obra completa 36,
Llibertat! 50 poemes de revolta,Recopilació ,15,2,Menjador,poesia,Ara edicions,Català,,
Hombres de maíz,Miguel Ángel Asturias,15,2,Menjador,Novel·la,Biblioteca el mundo,Castellà,,
Las civilizaciones prehistóricas,Jean Marc Brissaud,15,2,Menjador,Didàctic,Club international del libro,Castellà,,
La civilización Azteca,Jean Marcilly,15,2,Menjador,Didàctic,Club international del libro,Castellà,,
Los Incas,Jean-Claude Valla,15,2,Menjador,Didàctic,Club international del libro,Castellà,,
Societat limitada,Ferran Torrent,15,2,Menjador,Novel·la,Columna,Català,,
Mirall Trencat,Mercè Rodoreda,15,2,Menjador,Novel·la,Club Editor,Català,,
Jo confesso,Jaume Cabré,15,2,Menjador,Novel·la,Proa,Català,,
Naruto 26,Masashi Kishimoto,15,2,Menjador,Còmic,Glenat,Castellà,,
Naruto 29,Masashi Kishimoto,15,2,Menjador,Còmic,Glenat,Castellà,,
Duel Masters,Indeterminat,15,2,Menjador,Còmic,indeterminat,Japonès,,
Dragon Ball,Indeterminat,15,2,Menjador,Còmic,indeterminat,Japonès,,
Detective Conan,Indeterminat,15,2,Menjador,Còmic,indeterminat,Japonès,,
Pokemon,Indeterminat,15,2,Menjador,Còmic,indeterminat,Japonès,,
El Jugador,Fedor Dostoyevski,16,2,Menjador,Novel·la,Sarpe,Castellà,,
Oliver Twist,Charles Dickens,16,2,Menjador,Novel·la,Sarpe,Castellà,,
La nova Cançó,Indeterminat,16,2,Menjador,Didàctic,Avui,Català,Amb CDs,
El Rock Català,Indeterminat,16,2,Menjador,Didàctic,Avui,Català,Amb CDs,
The Murders in the Rue Morgue,Edgar allan Poe,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The Signalman,Charles Dickens,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The trial for murder,Charles Dickens,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The Isle of Voices,Robert Louis Stevensson,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
The plague Cellar,Robert Louis Stevensson,16,2,Menjador,Contes,Lavanguardia,Castellà,Bilingüe Anglès,
